,hd,surprise
10/4/2016,0.5147058823529411,-0.12
12/7/2016,1.1451612903225807,0.26
2/8/2017,0.8764044943820225,0.13
4/6/2017,0.9868421052631579,0.02
6/7/2017,0.7037037037037037,0.02
8/2/2017,0.4031007751937985,-0.06
10/4/2017,1.4052044609665426,0.03
12/6/2017,1.0471204188481675,-0.01
2/7/2018,1.5969387755102042,-0.03
4/5/2018,1.1467391304347827,-0.015
6/6/2018,1.5328947368421053,0.045
8/1/2018,1.2798053527980535,0.09
10/5/2018,1.2692307692307692,-0.285
12/5/2018,0.9794520547945206,0.0
2/7/2019,0.25806451612903225,-0.15
4/4/2019,1.0,0.02
6/6/2019,0.0,-0.02
8/7/2019,0.7058823529411764,-0.04
10/4/2019,2.0,0.02
12/5/2019,1.5483870967741935,0.23
2/6/2020,1.5897435897435899,0.0
3/27/2020,0.0,-0.42
5/22/2020,0.5333333333333333,-0.15
